 INIT SUCCESS
GAME INIT SUCCESS
 movie load SUCCESS 
rotation: -13.1632
rotation: 42.0585
rotation: 57.1415
rotation: 49.5942
rotation: 31.1153
rotation: -3.38301
rotation: -41.476
rotation: -63.9851
rotation: -80.4569
rotation: -84.1567
rotation: -55.8274
rotation: 3.23361
rotation: 42.93
rotation: 76.8947
rotation: 46.4321
rotation: -29.0265
rotation: -60.3833
rotation: -81.9662
rotation: -86.9704
rotation: -86.8493
rotation: -32.5351
rotation: 52.2701
rotation: 77.2846
rotation: 86.1121
rotation: 72.2996
rotation: 29.3779
rotation: -36.6213
rotation: -87.2499
rotation: -23.8865
rotation: 51.7098
rotation: 69.7311
rotation: 75.0124
rotation: 37.4701
rotation: -17.2759
rotation: -47.8156
rotation: -72.7076
rotation: -89.6816
rotation: -84.5816
rotation: -74.0783
rotation: -38.1039
rotation: 10.5847
rotation: 61.5571
rotation: 60.9709
rotation: 7.34301
rotation: -42.3575
rotation: -73.7694
rotation: -75.8885
rotation: -72.4871
rotation: -72.3476
rotation: 24.1455
rotation: -21.069
rotation: -64.408
rotation: -85.3466
rotation: -86.118
rotation: -65.6063
rotation: -17.2096
rotation: 49.8991
rotation: 88.4519
rotation: 52.0869
rotation: 46.7715
rotation: 86.2218
rotation: 17.4027
rotation: -66.6357
rotation: -85.7001
rotation: -67.1263
rotation: -60.4424
rotation: -80.3026
rotation: 15.7209
rotation: 72.0069
rotation: 83.1475
rotation: 77.7995
rotation: 36.6292
rotation: 15.3955
rotation: -17.5535
rotation: -50.9541
rotation: -78.7293
rotation: -89.6483
rotation: -75.3791
rotation: -60.5615
rotation: -11.6336
rotation: 43.4926
rotation: 67.6381
rotation: 83.6598
rotation: 72.2674
rotation: 50.2677
rotation: 24.7311
rotation: -5.88245
rotation: -48.7046
rotation: -71.6432
rotation: -84.8289
rotation: -86.9872
rotation: -49.0536
rotation: 33.0984
rotation: 57.9614
rotation: 77.7488
rotation: 87.7094
rotation: 67.8133
rotation: 42.8051
rotation: -3.65777
rotation: -26.2502
